name,values,default
hasAuction,false,false
hasAwardingOrder,true,true
hasValueRestriction,true,true
valueCurrencyEquality,true,true
hasPrequalification,false,false
minBidsNumber,1,1
hasPreSelectionAgreement,true,true
hasTenderComplaints,false,false
hasAwardComplaints,false,false
hasCancellationComplaints,false,false
hasValueEstimation,true,true
hasQualificationComplaints,false,false
tenderComplainRegulation,0,0
qualificationComplainDuration,0,0
awardComplainDuration,0,0
cancellationComplainDuration,0,0
clarificationUntilDuration,0,0
qualificationDuration,0,0
restricted,false,false
