name,values,default
hasAuction,"true,false",false
hasAwardingOrder,"true,false",false
hasValueRestriction,"true,false",false
valueCurrencyEquality,"true,false",false
hasPrequalification,"true,false",false
minBidsNumber,1 - 9,1
hasPreSelectionAgreement,"true,false",false
hasTenderComplaints,false,false
hasAwardComplaints,false,false
hasCancellationComplaints,false,false
hasValueEstimation,"true,false",false
hasQualificationComplaints,false,false
tenderComplainRegulation,0,0
qualificationComplainDuration,0,10
awardComplainDuration,2,2
cancellationComplainDuration,0,0
clarificationUntilDuration,4,4
qualificationDuration,20,20
restricted,false,false
